_id,idx,series,kode_wilayah,wilayah,tahun,triwulan,bulan,tanggal,nilai,target
1,0,Luas Lahan yang Dibakar (Ha),1,Indonesia,2008,,,,1857348.3,
2,1,Luas Lahan yang Dibakar (Ha),11,ACEH,2008,,,,21402.1,
3,2,Luas Lahan yang Dibakar (Ha),12,SUMATERA UTARA,2008,,,,15946.8,
4,3,Luas Lahan yang Dibakar (Ha),13,SUMATERA BARAT,2008,,,,5601.2,
5,4,Luas Lahan yang Dibakar (Ha),14,RIAU,2008,,,,13729.2,
6,5,Luas Lahan yang Dibakar (Ha),15,JAMBI,2008,,,,11264.7,
7,6,Luas Lahan yang Dibakar (Ha),16,SUMATERA SELATAN,2008,,,,39692.5,
8,7,Luas Lahan yang Dibakar (Ha),17,BENGKULU,2008,,,,7676.7,
9,8,Luas Lahan yang Dibakar (Ha),18,LAMPUNG,2008,,,,56679.1,
10,9,Luas Lahan yang Dibakar (Ha),19,KEPULAUAN BANGKA BELITUNG,2008,,,,7790.3,
11,10,Luas Lahan yang Dibakar (Ha),21,KEPULAUAN RIAU,2008,,,,1629.8,
12,11,Luas Lahan yang Dibakar (Ha),31,DKI JAKARTA,2008,,,,,
13,12,Luas Lahan yang Dibakar (Ha),32,JAWA BARAT,2008,,,,7317.7,
14,13,Luas Lahan yang Dibakar (Ha),33,JAWA TENGAH,2008,,,,5318.7,
15,14,Luas Lahan yang Dibakar (Ha),34,D I YOGYAKARTA,2008,,,,,
16,15,Luas Lahan yang Dibakar (Ha),35,JAWA TIMUR,2008,,,,6127.2,
17,16,Luas Lahan yang Dibakar (Ha),36,BANTEN,2008,,,,5233.5,
18,17,Luas Lahan yang Dibakar (Ha),51,BALI,2008,,,,22.7,
19,18,Luas Lahan yang Dibakar (Ha),52,NUSA TENGGARA BARAT,2008,,,,4439.7,
20,19,Luas Lahan yang Dibakar (Ha),53,NUSA TENGGARA TIMUR,2008,,,,93266.6,
21,20,Luas Lahan yang Dibakar (Ha),61,KALIMANTAN BARAT,2008,,,,1261206.8,
22,21,Luas Lahan yang Dibakar (Ha),62,KALIMANTAN TENGAH,2008,,,,114099.1,
23,22,Luas Lahan yang Dibakar (Ha),63,KALIMANTAN SELATAN,2008,,,,17968.6,
24,23,Luas Lahan yang Dibakar (Ha),64,KALIMANTAN TIMUR,2008,,,,65337.1,
25,24,Luas Lahan yang Dibakar (Ha),71,SULAWESI UTARA,2008,,,,4632.2,
26,25,Luas Lahan yang Dibakar (Ha),72,SULAWESI TENGAH,2008,,,,17203.1,
27,26,Luas Lahan yang Dibakar (Ha),73,SULAWESI SELATAN,2008,,,,9397.6,
28,27,Luas Lahan yang Dibakar (Ha),74,SULAWESI TENGGARA,2008,,,,12338.2,
29,28,Luas Lahan yang Dibakar (Ha),75,GORONTALO,2008,,,,1206.8,
30,29,Luas Lahan yang Dibakar (Ha),76,SULAWESI BARAT,2008,,,,5357.2,
31,30,Luas Lahan yang Dibakar (Ha),81,MALUKU,2008,,,,15895.6,
32,31,Luas Lahan yang Dibakar (Ha),82,MALUKU UTARA,2008,,,,7258.9,
33,32,Luas Lahan yang Dibakar (Ha),91,PAPUA BARAT,2008,,,,5490,
34,33,Luas Lahan yang Dibakar (Ha),94,PAPUA,2008,,,,16818.6,
35,34,Luas Lahan yang Dibakar (Ha),1101,SIMEULUE,2008,,,,809,
36,35,Luas Lahan yang Dibakar (Ha),1102,ACEH SINGKIL,2008,,,,1559.5,
37,36,Luas Lahan yang Dibakar (Ha),1103,ACEH SELATAN,2008,,,,1540.5,
38,37,Luas Lahan yang Dibakar (Ha),1104,ACEH TENGGARA,2008,,,,632,
39,38,Luas Lahan yang Dibakar (Ha),1105,ACEH TIMUR,2008,,,,2729,
40,39,Luas Lahan yang Dibakar (Ha),1106,ACEH TENGAH,2008,,,,291.1,
41,40,Luas Lahan yang Dibakar (Ha),1107,ACEH BARAT,2008,,,,1342.5,
42,41,Luas Lahan yang Dibakar (Ha),1108,ACEH BESAR,2008,,,,1039.5,
43,42,Luas Lahan yang Dibakar (Ha),1109,PIDIE,2008,,,,1546,
44,43,Luas Lahan yang Dibakar (Ha),1110,BIREUEN,2008,,,,1411,
45,44,Luas Lahan yang Dibakar (Ha),1111,ACEH UTARA,2008,,,,1034,
46,45,Luas Lahan yang Dibakar (Ha),1112,ACEH BARAT DAYA,2008,,,,2046,
47,46,Luas Lahan yang Dibakar (Ha),1113,GAYO LUES,2008,,,,717.5,
48,47,Luas Lahan yang Dibakar (Ha),1114,ACEH TAMIANG,2008,,,,158,
49,48,Luas Lahan yang Dibakar (Ha),1115,NAGAN RAYA,2008,,,,517,
50,49,Luas Lahan yang Dibakar (Ha),1116,ACEH JAYA,2008,,,,1938.5,
51,50,Luas Lahan yang Dibakar (Ha),1117,BENER MERIAH,2008,,,,437.6,
52,51,Luas Lahan yang Dibakar (Ha),1118,PIDIE JAYA,2008,,,,247.4,
53,52,Luas Lahan yang Dibakar (Ha),1171,KOTA BANDA ACEH,2008,,,,,
54,53,Luas Lahan yang Dibakar (Ha),1172,KOTA SABANG,2008,,,,,
55,54,Luas Lahan yang Dibakar (Ha),1173,KOTA LANGSA,2008,,,,8,
56,55,Luas Lahan yang Dibakar (Ha),1174,KOTA LHOKSEUMAWE,2008,,,,143,
57,56,Luas Lahan yang Dibakar (Ha),1175,KOTA SUBULUSSALAM,2008,,,,1255,
58,57,Luas Lahan yang Dibakar (Ha),1201,NIAS,2008,,,,962.5,
59,58,Luas Lahan yang Dibakar (Ha),1202,MANDAILING NATAL,2008,,,,3285.8,
60,59,Luas Lahan yang Dibakar (Ha),1203,TAPANULI SELATAN,2008,,,,644.7,
61,60,Luas Lahan yang Dibakar (Ha),1204,TAPANULI TENGAH,2008,,,,426.5,
62,61,Luas Lahan yang Dibakar (Ha),1205,TAPANULI UTARA,2008,,,,206.5,
63,62,Luas Lahan yang Dibakar (Ha),1206,TOBA SAMOSIR,2008,,,,28,
64,63,Luas Lahan yang Dibakar (Ha),1207,LABUHAN BATU,2008,,,,507,
65,64,Luas Lahan yang Dibakar (Ha),1208,ASAHAN,2008,,,,159.2,
66,65,Luas Lahan yang Dibakar (Ha),1209,SIMALUNGUN,2008,,,,660.4,
67,66,Luas Lahan yang Dibakar (Ha),1210,DAIRI,2008,,,,127,
68,67,Luas Lahan yang Dibakar (Ha),1211,KARO,2008,,,,3838,
69,68,Luas Lahan yang Dibakar (Ha),1212,DELI SERDANG,2008,,,,24,
70,69,Luas Lahan yang Dibakar (Ha),1213,LANGKAT,2008,,,,1889,
71,70,Luas Lahan yang Dibakar (Ha),1214,NIAS SELATAN,2008,,,,1388.8,
72,71,Luas Lahan yang Dibakar (Ha),1215,HUMBANG HASUNDUTAN,2008,,,,21,
73,72,Luas Lahan yang Dibakar (Ha),1216,PAKPAK BHARAT,2008,,,,198,
74,73,Luas Lahan yang Dibakar (Ha),1217,SAMOSIR,2008,,,,12,
75,74,Luas Lahan yang Dibakar (Ha),1218,SERDANG BEDAGAI,2008,,,,28,
76,75,Luas Lahan yang Dibakar (Ha),1219,BATU BARA,2008,,,,39.4,
77,76,Luas Lahan yang Dibakar (Ha),1220,PADANG LAWAS UTARA,2008,,,,1092.1,
78,77,Luas Lahan yang Dibakar (Ha),1221,PADANG LAWAS,2008,,,,403.9,
79,78,Luas Lahan yang Dibakar (Ha),1271,KOTA SIBOLGA,2008,,,,,
80,79,Luas Lahan yang Dibakar (Ha),1272,KOTA TANJUNG BALAI,2008,,,,,
81,80,Luas Lahan yang Dibakar (Ha),1273,KOTA PEMATANG SIANTAR,2008,,,,,
82,81,Luas Lahan yang Dibakar (Ha),1274,KOTA TEBING TINGGI,2008,,,,,
83,82,Luas Lahan yang Dibakar (Ha),1275,KOTA MEDAN,2008,,,,,
84,83,Luas Lahan yang Dibakar (Ha),1276,KOTA BINJAI,2008,,,,4.5,
85,84,Luas Lahan yang Dibakar (Ha),1277,KOTA PADANGSIDIMPUAN,2008,,,,0.5,
86,85,Luas Lahan yang Dibakar (Ha),1301,KEPULAUAN MENTAWAI,2008,,,,22.5,
87,86,Luas Lahan yang Dibakar (Ha),1302,PESISIR SELATAN,2008,,,,236,
88,87,Luas Lahan yang Dibakar (Ha),1303,SOLOK,2008,,,,381,
89,88,Luas Lahan yang Dibakar (Ha),1304,SIJUNJUNG,2008,,,,672.5,
90,89,Luas Lahan yang Dibakar (Ha),1305,TANAH DATAR,2008,,,,28,
91,90,Luas Lahan yang Dibakar (Ha),1306,PADANG PARIAMAN,2008,,,,95,
92,91,Luas Lahan yang Dibakar (Ha),1307,AGAM,2008,,,,32.5,
93,92,Luas Lahan yang Dibakar (Ha),1308,LIMA PULUH KOTA,2008,,,,232.5,
94,93,Luas Lahan yang Dibakar (Ha),1309,PASAMAN,2008,,,,1588,
95,94,Luas Lahan yang Dibakar (Ha),1310,SOLOK SELATAN,2008,,,,113.1,
96,95,Luas Lahan yang Dibakar (Ha),1311,DHARMAS RAYA,2008,,,,845,
97,96,Luas Lahan yang Dibakar (Ha),1312,PASAMAN BARAT,2008,,,,1332.1,
98,97,Luas Lahan yang Dibakar (Ha),1371,KOTA PADANG,2008,,,,18,
99,98,Luas Lahan yang Dibakar (Ha),1372,KOTA SOLOK,2008,,,,,
100,99,Luas Lahan yang Dibakar (Ha),1373,KOTA SAWAH LUNTO,2008,,,,5,
101,100,Luas Lahan yang Dibakar (Ha),1374,KOTA PADANG PANJANG,2008,,,,,
102,101,Luas Lahan yang Dibakar (Ha),1375,KOTA BUKITTINGGI,2008,,,,,
103,102,Luas Lahan yang Dibakar (Ha),1376,KOTA PAYAKUMBUH,2008,,,,,
104,103,Luas Lahan yang Dibakar (Ha),1377,KOTA PARIAMAN,2008,,,,,
105,104,Luas Lahan yang Dibakar (Ha),1401,KUANTAN SINGINGI,2008,,,,2093,
106,105,Luas Lahan yang Dibakar (Ha),1402,INDRAGIRI HULU,2008,,,,1267.2,
107,106,Luas Lahan yang Dibakar (Ha),1403,INDRAGIRI HILIR,2008,,,,1418.5,
108,107,Luas Lahan yang Dibakar (Ha),1404,PELALAWAN,2008,,,,2715.8,
109,108,Luas Lahan yang Dibakar (Ha),1405,SIAK,2008,,,,1161,
110,109,Luas Lahan yang Dibakar (Ha),1406,KAMPAR,2008,,,,389.5,
111,110,Luas Lahan yang Dibakar (Ha),1407,ROKAN HULU,2008,,,,804,
112,111,Luas Lahan yang Dibakar (Ha),1408,BENGKALIS,2008,,,,638.2,
113,112,Luas Lahan yang Dibakar (Ha),1409,ROKAN HILIR,2008,,,,2939,
114,113,Luas Lahan yang Dibakar (Ha),1471,KOTA PEKANBARU,2008,,,,190,
115,114,Luas Lahan yang Dibakar (Ha),1473,KOTA DUMAI,2008,,,,113,
116,115,Luas Lahan yang Dibakar (Ha),1501,KERINCI,2008,,,,333,
117,116,Luas Lahan yang Dibakar (Ha),1502,MERANGIN,2008,,,,2361.7,
118,117,Luas Lahan yang Dibakar (Ha),1503,SAROLANGUN,2008,,,,2611.3,
119,118,Luas Lahan yang Dibakar (Ha),1504,BATANG HARI,2008,,,,989.2,
120,119,Luas Lahan yang Dibakar (Ha),1505,MUARO JAMBI,2008,,,,1428,
121,120,Luas Lahan yang Dibakar (Ha),1506,TANJUNG JABUNG TIMUR,2008,,,,2132,
122,121,Luas Lahan yang Dibakar (Ha),1507,TANJUNG JABUNG BARAT,2008,,,,209,
123,122,Luas Lahan yang Dibakar (Ha),1508,TEBO,2008,,,,926.5,
124,123,Luas Lahan yang Dibakar (Ha),1509,BUNGO,2008,,,,274,
125,124,Luas Lahan yang Dibakar (Ha),1571,KOTA JAMBI,2008,,,,,
126,125,Luas Lahan yang Dibakar (Ha),1601,OGAN KOMERING ULU,2008,,,,2452.2,
127,126,Luas Lahan yang Dibakar (Ha),1602,OGAN KOMERING ILIR,2008,,,,2319,
128,127,Luas Lahan yang Dibakar (Ha),1603,MUARA ENIM,2008,,,,6497.2,
129,128,Luas Lahan yang Dibakar (Ha),1604,LAHAT,2008,,,,1177.1,
130,129,Luas Lahan yang Dibakar (Ha),1605,MUSI RAWAS,2008,,,,2402.5,
131,130,Luas Lahan yang Dibakar (Ha),1606,MUSI BANYUASIN,2008,,,,2510.5,
132,131,Luas Lahan yang Dibakar (Ha),1607,BANYU ASIN,2008,,,,17440.1,
133,132,Luas Lahan yang Dibakar (Ha),1608,OGAN KOMERING ULU SELATAN,2008,,,,1836.5,
134,133,Luas Lahan yang Dibakar (Ha),1609,OGAN KOMERING ULU TIMUR,2008,,,,574.2,
135,134,Luas Lahan yang Dibakar (Ha),1610,OGAN ILIR,2008,,,,1132.7,
136,135,Luas Lahan yang Dibakar (Ha),1611,EMPAT LAWANG,2008,,,,847.5,
137,136,Luas Lahan yang Dibakar (Ha),1671,KOTA PALEMBANG,2008,,,,84,
138,137,Luas Lahan yang Dibakar (Ha),1672,KOTA PRABUMULIH,2008,,,,377,
139,138,Luas Lahan yang Dibakar (Ha),1673,KOTA PAGAR ALAM,2008,,,,29,
140,139,Luas Lahan yang Dibakar (Ha),1674,KOTA LUBUK LINGGAU,2008,,,,13,
141,140,Luas Lahan yang Dibakar (Ha),1701,BENGKULU SELATAN,2008,,,,499.4,
142,141,Luas Lahan yang Dibakar (Ha),1702,REJANG LEBONG,2008,,,,366,
143,142,Luas Lahan yang Dibakar (Ha),1703,BENGKULU UTARA,2008,,,,2488.5,
144,143,Luas Lahan yang Dibakar (Ha),1704,KAUR,2008,,,,556.2,
145,144,Luas Lahan yang Dibakar (Ha),1705,SELUMA,2008,,,,730.6,
146,145,Luas Lahan yang Dibakar (Ha),1706,MUKOMUKO,2008,,,,2141,
147,146,Luas Lahan yang Dibakar (Ha),1707,LEBONG,2008,,,,388,
148,147,Luas Lahan yang Dibakar (Ha),1708,KEPAHIANG,2008,,,,507,
149,148,Luas Lahan yang Dibakar (Ha),1771,KOTA BENGKULU,2008,,,,,
150,149,Luas Lahan yang Dibakar (Ha),1801,LAMPUNG BARAT,2008,,,,242.1,
151,150,Luas Lahan yang Dibakar (Ha),1802,TANGGAMUS,2008,,,,958.1,
152,151,Luas Lahan yang Dibakar (Ha),1803,LAMPUNG SELATAN,2008,,,,,
153,152,Luas Lahan yang Dibakar (Ha),1804,LAMPUNG TIMUR,2008,,,,91.5,
154,153,Luas Lahan yang Dibakar (Ha),1805,LAMPUNG TENGAH,2008,,,,1381,
155,154,Luas Lahan yang Dibakar (Ha),1806,LAMPUNG UTARA,2008,,,,3511,
156,155,Luas Lahan yang Dibakar (Ha),1807,WAY KANAN,2008,,,,1483.4,
157,156,Luas Lahan yang Dibakar (Ha),1808,TULANG BAWANG,2008,,,,49009,
158,157,Luas Lahan yang Dibakar (Ha),1809,PESAWARAN,2008,,,,,
159,158,Luas Lahan yang Dibakar (Ha),1871,KOTA BANDAR LAMPUNG,2008,,,,3,
160,159,Luas Lahan yang Dibakar (Ha),1872,KOTA METRO,2008,,,,,
161,160,Luas Lahan yang Dibakar (Ha),1901,BANGKA,2008,,,,2389,
162,161,Luas Lahan yang Dibakar (Ha),1902,BELITUNG,2008,,,,683.5,
163,162,Luas Lahan yang Dibakar (Ha),1903,BANGKA BARAT,2008,,,,2545.3,
164,163,Luas Lahan yang Dibakar (Ha),1904,BANGKA TENGAH,2008,,,,1016,
165,164,Luas Lahan yang Dibakar (Ha),1905,BANGKA SELATAN,2008,,,,1090,
166,165,Luas Lahan yang Dibakar (Ha),1906,BELITUNG TIMUR,2008,,,,66.5,
167,166,Luas Lahan yang Dibakar (Ha),1971,KOTA PANGKAL PINANG,2008,,,,,
